Version,ImageSource,GpsStatus,AltitudeType,GpsLatitude,GpsLongitude,AbsoluteAltitude,RelativeAltitude,GimbalRollDegree,GimbalYawDegree,GimbalPitchDegree,FlightRollDegree,FlightYawDegree,FlightPitchDegree,FlightXSpeed,FlightYSpeed,FlightZSpeed,CamReverse,GimbalReverse,SelfData,RtkFlag,RtkStdLon,RtkStdLat,RtkStdHgt,RtkDiffAge,NTRIPMountPoint,NTRIPPort,NTRIPHost,SurveyingMode,DewarpFlag,DewarpData,CalibratedFocalLength,CalibratedOpticalCenterX,CalibratedOpticalCenterY,UTCAtExposure,ShutterType,CameraSerialNumber,DroneModel,DroneSerialNumber,CaptureUUID,RelativeOpticalCenterX,RelativeOpticalCenterY,DewarpHMatrix,CalibratedHMatrix,VignettingFlag,VignettingData,LS_type,LS_status,Package_idx,Cfg_cnt,RawData,BandName,BandFreq,Irradiance,SensorGain,ExposureTime,SensorGainAdjustment,SensorIndex,BlackLevel,DroneID,RigCameraIndex,img_id
1.6,MS_NIR_CAMERA,RTK,RtkAlt,-36.805298957,+174.737662026,+104.320,+60.211,+180.00,-82.20,-90.00,+7.30,+98.20,+4.60,-0.7,4.4,-0.9,0,0,,50,0.01225,0.01169,0.02488,1.00000,AUKT00NZL0,2101,positionz-rt.linz.govt.nz,1,0,"2023-07-31;2205.260009765625,2206.780029296875,-22.030029296875,-27.093994140625,0.005586800165,-0.039736099541,-0.001695959945,-0.000788366015,0.000000000000",2170.000000,1296.000000,972.000000,2025-09-18T23:37:42.907801,Electronic,5J4O3AIRC3Q0AG,M3M,1581F5FKD238100D5238,8f9b698a5a764ec8932f545ddd620f7e,0.000000,0.000000,"1.716200,0.000000,415.752014,0.000000,1.716200,309.813995,0.000000,0.000000,1.000000","9.867841e-01,2.693946e-02,6.325290e+00,-2.707129e-02,9.824314e-01,8.612610e+01,1.769609e-06,-1.422967e-06,1.000000e+00",0,"-0.000015943, 1.333366e-06, -3.821700e-09, 6.403690e-12, -4.773525e-15, 1.338004e-18",1,2,140,1,13758.000 11692.000 13774.000 12123.000,NIR,860(+/-26)nm,13748.086,1.055,1953,0.917817,4,3200,1581F5FKD238100D5238,4,20250919113723_0039
1.6,MS_NIR_CAMERA,RTK,RtkAlt,-36.805558409,+174.739957718,+94.270,+50.114,+0.00,+97.90,-89.90,+2.60,+97.80,-1.40,-0.6,4.3,0.0,0,0,,50,0.01206,0.01154,0.02459,2.00000,AUKT00NZL0,2101,positionz-rt.linz.govt.nz,1,0,"2023-07-31;2205.260009765625,2206.780029296875,-22.030029296875,-27.093994140625,0.005586800165,-0.039736099541,-0.001695959945,-0.000788366015,0.000000000000",2170.000000,1296.000000,972.000000,2025-09-18T23:38:29.862952,Electronic,5J4O3AIRC3Q0AG,M3M,1581F5FKD238100D5238,6f5ac2d8fe12426d87e1695a6a5d05e0,0.000000,0.000000,"1.716200,0.000000,415.752014,0.000000,1.716200,309.813995,0.000000,0.000000,1.000000","9.867841e-01,2.693946e-02,6.325290e+00,-2.707129e-02,9.824314e-01,8.612610e+01,1.769609e-06,-1.422967e-06,1.000000e+00",0,"-0.000015943, 1.333366e-06, -3.821700e-09, 6.403690e-12, -4.773525e-15, 1.338004e-18",1,2,255,1,15059.000 12830.000 15124.000 13269.000,NIR,860(+/-26)nm,13849.946,1.000,1161,0.917817,4,3200,1581F5FKD238100D5238,4,20250919113810_0062
1.6,MS_NIR_CAMERA,RTK,RtkAlt,-36.805675606,+174.740035734,+91.664,+47.502,+0.00,-82.10,-89.90,-4.90,-81.90,-6.70,0.6,-4.2,-0.1,0,0,,50,0.01222,0.01166,0.02491,1.60000,AUKT00NZL0,2101,positionz-rt.linz.govt.nz,1,0,"2023-07-31;2205.260009765625,2206.780029296875,-22.030029296875,-27.093994140625,0.005586800165,-0.039736099541,-0.001695959945,-0.000788366015,0.000000000000",2170.000000,1296.000000,972.000000,2025-09-18T23:36:33.483150,Electronic,5J4O3AIRC3Q0AG,M3M,1581F5FKD238100D5238,204e582e5cd24f968ddadef553107cfd,0.000000,0.000000,"1.716200,0.000000,415.752014,0.000000,1.716200,309.813995,0.000000,0.000000,1.000000","9.867841e-01,2.693946e-02,6.325290e+00,-2.707129e-02,9.824314e-01,8.612610e+01,1.769609e-06,-1.422967e-06,1.000000e+00",0,"-0.000015943, 1.333366e-06, -3.821700e-09, 6.403690e-12, -4.773525e-15, 1.338004e-18",1,2,225,1,16175.000 13805.000 15937.000 13940.000,NIR,860(+/-26)nm,13945.198,1.000,1042,0.917817,4,3200,1581F5FKD238100D5238,4,20250919113614_0005
1.6,MS_R_CAMERA,RTK,RtkAlt,-36.805362565,+174.739185940,+97.280,+53.105,+0.00,-82.40,-89.90,-7.20,-82.10,-5.30,0.6,-4.3,-0.3,0,0,,50,0.01209,0.01153,0.02456,1.60000,AUKT00NZL0,2101,positionz-rt.linz.govt.nz,1,0,"2023-07-31;2185.320068359375,2188.100097656250,3.239990234375,-21.327026367188,0.005409639794,-0.041799500585,-0.001311820000,-0.001172650023,0.000000000000",2170.000000,1296.000000,972.000000,2025-09-18T23:39:04.589022,Electronic,5J2O3ARRC7L0CC,M3M,1581F5FKD238100D5238,a0049dd87dbb4d39adaf2bef8b75c54b,25.270020,5.766968,"1.716200,0.000000,415.752014,0.000000,1.716200,309.813995,0.000000,0.000000,1.000000","9.922707e-01,1.418118e-02,-8.510752e+00,-1.547667e-02,9.896930e-01,5.574044e+01,1.762008e-07,-1.117101e-06,1.000000e+00",0,"-0.000130952, 1.701803e-06, -4.943783e-09, 7.963970e-12, -5.783830e-15, 1.597196e-18",1,2,85,1,14706.000 12515.000 14446.000 12612.000,Red,650(+/-16)nm,17989.938,2.157,1953,0.571341,2,3200,1581F5FKD238100D5238,2,20250919113845_0079
1.6,MS_R_CAMERA,RTK,RtkAlt,-36.805462205,+174.738137063,+98.873,+54.712,+0.00,-82.20,-89.90,-5.80,-82.10,-4.40,0.5,-4.4,-0.4,0,0,,50,0.01218,0.01164,0.02478,1.40000,AUKT00NZL0,2101,positionz-rt.linz.govt.nz,1,0,"2023-07-31;2185.320068359375,2188.100097656250,3.239990234375,-21.327026367188,0.005409639794,-0.041799500585,-0.001311820000,-0.001172650023,0.000000000000",2170.000000,1296.000000,972.000000,2025-09-18T23:37:12.288731,Electronic,5J2O3ARRC7L0CC,M3M,1581F5FKD238100D5238,c17a4cda22ed44ef936c02972ed5c0e0,25.270020,5.766968,"1.716200,0.000000,415.752014,0.000000,1.716200,309.813995,0.000000,0.000000,1.000000","9.922707e-01,1.418118e-02,-8.510752e+00,-1.547667e-02,9.896930e-01,5.574044e+01,1.762008e-07,-1.117101e-06,1.000000e+00",0,"-0.000130952, 1.701803e-06, -4.943783e-09, 7.963970e-12, -5.783830e-15, 1.597196e-18",1,2,65,1,15692.000 13386.000 15441.000 13518.000,Red,650(+/-16)nm,18748.926,3.273,1953,0.571341,2,3200,1581F5FKD238100D5238,2,20250919113653_0024
1.6,MS_R_CAMERA,RTK,RtkAlt,-36.805563533,+174.737107171,+103.945,+59.779,+180.00,+98.20,-90.00,-2.00,-81.80,+6.00,0.0,-0.4,0.0,0,0,,50,0.01214,0.01168,0.02472,2.00000,AUKT00NZL0,2101,positionz-rt.linz.govt.nz,1,0,"2023-07-31;2185.320068359375,2188.100097656250,3.239990234375,-21.327026367188,0.005409639794,-0.041799500585,-0.001311820000,-0.001172650023,0.000000000000",2170.000000,1296.000000,972.000000,2025-09-18T23:40:58.919407,Electronic,5J2O3ARRC7L0CC,M3M,1581F5FKD238100D5238,8d73d1fa61da404c9ad97ede4f7174ec,25.270020,5.766968,"1.716200,0.000000,415.752014,0.000000,1.716200,309.813995,0.000000,0.000000,1.000000","9.922707e-01,1.418118e-02,-8.510752e+00,-1.547667e-02,9.896930e-01,5.574044e+01,1.762008e-07,-1.117101e-06,1.000000e+00",0,"-0.000130952, 1.701803e-06, -4.943783e-09, 7.963970e-12, -5.783830e-15, 1.597196e-18",1,2,109,1,15210.000 12952.000 14952.000 13063.000,Red,650(+/-16)nm,18016.463,2.032,1953,0.571341,2,3200,1581F5FKD238100D5238,2,20250919114039_0135
1.6,MS_R_CAMERA,RTK,RtkAlt,-36.805630015,+174.739638028,+92.670,+48.514,+180.00,+97.50,-90.00,-8.00,-82.10,-8.20,0.5,-4.4,-0.1,0,0,,50,0.01230,0.01174,0.02491,1.80000,AUKT00NZL0,2101,positionz-rt.linz.govt.nz,1,0,"2023-07-31;2185.320068359375,2188.100097656250,3.239990234375,-21.327026367188,0.005409639794,-0.041799500585,-0.001311820000,-0.001172650023,0.000000000000",2170.000000,1296.000000,972.000000,2025-09-18T23:36:41.638301,Electronic,5J2O3ARRC7L0CC,M3M,1581F5FKD238100D5238,4b5f8f8057cd429f85510b7c5103d6b3,25.270020,5.766968,"1.716200,0.000000,415.752014,0.000000,1.716200,309.813995,0.000000,0.000000,1.000000","9.922707e-01,1.418118e-02,-8.510752e+00,-1.547667e-02,9.896930e-01,5.574044e+01,1.762008e-07,-1.117101e-06,1.000000e+00",0,"-0.000130952, 1.701803e-06, -4.943783e-09, 7.963970e-12, -5.783830e-15, 1.597196e-18",1,2,245,1,14762.000 12571.000 14494.000 12681.000,Red,650(+/-16)nm,18441.008,1.182,1953,0.571341,2,3200,1581F5FKD238100D5238,2,20250919113622_0009
1.6,MS_G_CAMERA,RTK,RtkAlt,-36.805630095,+174.739638014,+92.670,+48.514,+180.00,+97.50,-90.00,-8.00,-82.10,-8.20,0.5,-4.4,-0.1,0,0,,50,0.01230,0.01174,0.02491,1.80000,AUKT00NZL0,2101,positionz-rt.linz.govt.nz,1,0,"2023-07-31;2181.139892578125,2183.000000000000,10.550048828125,2.455017089844,0.007797109894,-0.043786898255,-0.001427249983,-0.000858979009,0.000000000000",2170.000000,1296.000000,972.000000,2025-09-18T23:36:41.638316,Electronic,5HZO3AGGC630DE,M3M,1581F5FKD238100D5238,4b5f8f8057cd429f85510b7c5103d6b3,32.580078,29.549011,"1.716200,0.000000,415.752014,0.000000,1.716200,309.813995,0.000000,0.000000,1.000000","9.922765e-01,1.110543e-02,-1.126713e+01,-1.325014e-02,9.908519e-01,2.789460e+01,-5.049450e-07,-1.265397e-06,1.000000e+00",0,"-0.000151862, 1.791861e-06, -5.125924e-09, 8.050445e-12, -5.708480e-15, 1.538213e-18",1,2,245,1,14762.000 12571.000 14494.000 12681.000,Green,560(+/-16)nm,21386.289,1.000,1932,0.512913,1,3200,1581F5FKD238100D5238,1,20250919113622_0009
1.6,MS_G_CAMERA,RTK,RtkAlt,-36.805362646,+174.739185927,+97.280,+53.105,+0.00,-82.40,-89.90,-7.20,-82.10,-5.30,0.6,-4.3,-0.3,0,0,,50,0.01209,0.01153,0.02456,1.60000,AUKT00NZL0,2101,positionz-rt.linz.govt.nz,1,0,"2023-07-31;2181.139892578125,2183.000000000000,10.550048828125,2.455017089844,0.007797109894,-0.043786898255,-0.001427249983,-0.000858979009,0.000000000000",2170.000000,1296.000000,972.000000,2025-09-18T23:39:04.589022,Electronic,5HZO3AGGC630DE,M3M,1581F5FKD238100D5238,a0049dd87dbb4d39adaf2bef8b75c54b,32.580078,29.549011,"1.716200,0.000000,415.752014,0.000000,1.716200,309.813995,0.000000,0.000000,1.000000","9.922765e-01,1.110543e-02,-1.126713e+01,-1.325014e-02,9.908519e-01,2.789460e+01,-5.049450e-07,-1.265397e-06,1.000000e+00",0,"-0.000151862, 1.791861e-06, -5.125924e-09, 8.050445e-12, -5.708480e-15, 1.538213e-18",1,2,85,1,14706.000 12515.000 14446.000 12612.000,Green,560(+/-16)nm,20871.377,1.834,1953,0.512913,1,3200,1581F5FKD238100D5238,1,20250919113845_0079
1.6,MS_G_CAMERA,RTK,RtkAlt,-36.805563613,+174.737107157,+103.945,+59.776,+180.00,+98.20,-90.00,-2.00,-81.80,+6.00,0.0,-0.6,0.0,0,0,,50,0.01214,0.01168,0.02472,2.00000,AUKT00NZL0,2101,positionz-rt.linz.govt.nz,1,0,"2023-07-31;2181.139892578125,2183.000000000000,10.550048828125,2.455017089844,0.007797109894,-0.043786898255,-0.001427249983,-0.000858979009,0.000000000000",2170.000000,1296.000000,972.000000,2025-09-18T23:40:58.919407,Electronic,5HZO3AGGC630DE,M3M,1581F5FKD238100D5238,8d73d1fa61da404c9ad97ede4f7174ec,32.580078,29.549011,"1.716200,0.000000,415.752014,0.000000,1.716200,309.813995,0.000000,0.000000,1.000000","9.922765e-01,1.110543e-02,-1.126713e+01,-1.325014e-02,9.908519e-01,2.789460e+01,-5.049450e-07,-1.265397e-06,1.000000e+00",0,"-0.000151862, 1.791861e-06, -5.125924e-09, 8.050445e-12, -5.708480e-15, 1.538213e-18",1,2,109,1,15210.000 12952.000 14952.000 13063.000,Green,560(+/-16)nm,20936.383,1.619,1953,0.512913,1,3200,1581F5FKD238100D5238,1,20250919114039_0135
1.6,MS_G_CAMERA,RTK,RtkAlt,-36.805462285,+174.738137050,+98.873,+54.712,+0.00,-82.20,-89.90,-5.80,-82.10,-4.40,0.5,-4.4,-0.4,0,0,,50,0.01218,0.01164,0.02478,1.40000,AUKT00NZL0,2101,positionz-rt.linz.govt.nz,1,0,"2023-07-31;2181.139892578125,2183.000000000000,10.550048828125,2.455017089844,0.007797109894,-0.043786898255,-0.001427249983,-0.000858979009,0.000000000000",2170.000000,1296.000000,972.000000,2025-09-18T23:37:12.288731,Electronic,5HZO3AGGC630DE,M3M,1581F5FKD238100D5238,c17a4cda22ed44ef936c02972ed5c0e0,32.580078,29.549011,"1.716200,0.000000,415.752014,0.000000,1.716200,309.813995,0.000000,0.000000,1.000000","9.922765e-01,1.110543e-02,-1.126713e+01,-1.325014e-02,9.908519e-01,2.789460e+01,-5.049450e-07,-1.265397e-06,1.000000e+00",0,"-0.000151862, 1.791861e-06, -5.125924e-09, 8.050445e-12, -5.708480e-15, 1.538213e-18",1,2,65,1,15692.000 13386.000 15441.000 13518.000,Green,560(+/-16)nm,21725.186,2.969,1953,0.512913,1,3200,1581F5FKD238100D5238,1,20250919113653_0024
