Publication Year,Count,
2023,1685,
2024,1453,
2022,1439,
2025,1307,
2021,1168,
2020,917,
2019,691,
2018,400,
2017,167,
2016,68,
2015,23,
2014,5,
2002,4,
2013,4,
2008,3,
1998,2,
2001,2,
2009,2,
2010,2,
2011,2,
2012,2,
1913,1,
1964,1,
1969,1,
1974,1,
1984,1,
1991,1,
1999,1,
2003,1,
2004,1,
2006,1,
2007,1,
